,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
492,"polétje, (-a)",noun,-,Sommer,,15,"Substantiv, n ",459,,
493,políca (-e),noun,f ,Regal,,3,Substantiv ,459,,
495,"polnopraven, -vna, -o",adj,-,vollberechtigt,,14,Adjektiv ,208,,
496,"pomaranča, -e",noun,f ,Orange,,11,Substantiv ,459,,
497,pomarančni sok,noun,m ,Orangensaft,,5,Substantiv ,459,,
498,pomfri (-ja),noun,m ,Pommes,,5,Substantiv ,459,,
499,ponavadi,adj,-,gewöhnlich,,6,Adverb ,208,,
500,ponedeljek (-ljka),noun,m ,Montag,,6,Substantiv ,459,,
501,"ponosen, -a, -o",adj,-,stolz,,14,Adjektiv ,208,,
502,"ponudíti, ponúdi",verb,-,anbieten,,16,"Verb, pf ",145,,
504,"popeljáti, popélje",verb,-,"führen, geleiten",,2,"Verb, pf ",145,,
505,popôldne,adj,-,nachmittags,,4,Adverb ,208,,
506,posébej,adj,-,besonders,,15,Adverb ,208,,
507,"poslušati, -a",verb,-,hören,,6,"Verb, impf ",145,,
508,"posolíti, -í",verb,-,salzen,,15,"Verb, pf ",145,,
509,"posredovánje, -a",noun,n ,Vermittlung,,16,Substantiv ,459,,
510,postaja (-e),noun,f ,Haltestelle,,7,Substantiv ,459,,
511,"postati, postane",verb,-,werden,,9,"Verb, pf ",145,,
512,"postaviti (se), -i (se)",verb,-,(sich) stellen,,6,"Verb, pf ",145,,
513,postelja (-e),noun,f ,Bett,,13,Substantiv ,459,,
514,"posvéčati se, -a se",verb,-,sich widmen,,16,"Verb, impf ",145,,
515,pot (-i),noun,f ,Weg,,13,Substantiv ,459,http://mrg.bz/cLZTEm,way
516,potem,adj,-,dann,,4,Adverb ,208,,
517,potepanje-a,noun,n ,Bummel,,9,Substantiv ,459,,
518,potica (-e),noun,f ,"Hefestrudel mit verschiedenen Füllungen, z.B. Walnuss, Estragon, Mohn",,5,Substantiv ,459,,
519,"potniški-a, -o",adj,-,Passagier-,,9,Adjektiv ,208,,
520,potovanje (-a),noun,n ,Reise,,13,Substantiv ,459,,
521,"potrebováti, potrebúje",verb,-,"benötigen, brauchen",,15,"Verb, impf ",145,,
522,"povabiti, -i",verb,-,einladen,,7,"Verb, pf ",145,,
524,"povedati, pove",verb,-,sagen,,13,"Verb, pf ",145,,
525,"povzročíti, povzročí",verb,-,verursachen,,16,"Verb, pf ",145,,
526,"pozabiti, -i",verb,-,vergessen,,7,"Verb, pf ",145,,
527,pozdràv (-a),noun,m ,"Gruß, Begrüßung",,2,Substantiv ,459,,
